,year,month,day,date,Extent,Missing
1,1978,    10,  26,1978-10-26,17.624,0.0
2,1978,    10,  28,1978-10-28,17.803,0.0
3,1978,    10,  30,1978-10-30,17.67,0.0
4,1978,    11,  01,1978-11-01,17.527,0.0
5,1978,    11,  03,1978-11-03,17.486,0.0
6,1978,    11,  05,1978-11-05,17.343,0.0
7,1978,    11,  07,1978-11-07,17.157,0.0
8,1978,    11,  09,1978-11-09,17.028,0.0
9,1978,    11,  11,1978-11-11,16.815,0.0
10,1978,    11,  13,1978-11-13,16.371,0.0
11,1978,    11,  15,1978-11-15,16.176,0.0
12,1978,    11,  17,1978-11-17,15.52,0.0
13,1978,    11,  19,1978-11-19,15.267,0.0
14,1978,    11,  21,1978-11-21,15.027,0.0
15,1978,    11,  23,1978-11-23,14.681,0.0
16,1978,    11,  25,1978-11-25,14.449,0.0
17,1978,    11,  27,1978-11-27,13.98,0.0
18,1978,    11,  29,1978-11-29,13.619,0.0
19,1978,    12,  01,1978-12-01,13.33,0.0
20,1978,    12,  03,1978-12-03,13.097,0.0
21,1978,    12,  05,1978-12-05,12.829,0.0
22,1978,    12,  07,1978-12-07,12.436,0.0
23,1978,    12,  09,1978-12-09,11.963,0.0
24,1978,    12,  11,1978-12-11,11.652,0.0
25,1978,    12,  13,1978-12-13,11.148,0.0
26,1978,    12,  15,1978-12-15,10.664,0.0
27,1978,    12,  17,1978-12-17,10.239,0.0
28,1978,    12,  19,1978-12-19,9.758,0.0
29,1978,    12,  21,1978-12-21,9.362,0.0
30,1978,    12,  23,1978-12-23,8.706,0.0
31,1978,    12,  25,1978-12-25,8.362,0.0
32,1978,    12,  27,1978-12-27,7.907,0.0
33,1978,    12,  29,1978-12-29,7.588,0.0
34,1978,    12,  31,1978-12-31,7.283,0.0
35,1979,    01,  02,1979-01-02,6.945,0.0
36,1979,    01,  04,1979-01-04,6.838,0.0
37,1979,    01,  06,1979-01-06,6.638,0.0
38,1979,    01,  08,1979-01-08,6.27,0.0
39,1979,    01,  10,1979-01-10,6.138,0.0
40,1979,    01,  12,1979-01-12,5.952,0.0
41,1979,    01,  14,1979-01-14,5.564,0.0
42,1979,    01,  16,1979-01-16,5.379,0.0
43,1979,    01,  18,1979-01-18,5.233,0.0
44,1979,    01,  20,1979-01-20,4.984,0.0
45,1979,    01,  22,1979-01-22,4.609,0.0
46,1979,    01,  24,1979-01-24,4.397,0.0
47,1979,    01,  26,1979-01-26,4.184,0.0
48,1979,    01,  28,1979-01-28,4.004,0.0
49,1979,    01,  30,1979-01-30,3.898,0.0
50,1979,    02,  01,1979-02-01,3.704,0.0
51,1979,    02,  03,1979-02-03,3.516,0.0
52,1979,    02,  05,1979-02-05,3.367,0.0
53,1979,    02,  07,1979-02-07,3.326,0.0
54,1979,    02,  09,1979-02-09,3.212,0.0
55,1979,    02,  11,1979-02-11,3.043,0.0
56,1979,    02,  13,1979-02-13,3.049,0.0
57,1979,    02,  15,1979-02-15,2.916,0.0
58,1979,    02,  17,1979-02-17,2.911,0.0
59,1979,    02,  19,1979-02-19,2.95,0.0
60,1979,    02,  21,1979-02-21,2.945,0.0
61,1979,    02,  23,1979-02-23,2.924,0.0
62,1979,    02,  25,1979-02-25,2.996,0.0
63,1979,    02,  27,1979-02-27,3.116,0.0
64,1979,    03,  01,1979-03-01,3.248,0.0
65,1979,    03,  03,1979-03-03,3.079,0.0
66,1979,    03,  05,1979-03-05,3.228,0.0
67,1979,    03,  07,1979-03-07,3.308,0.0
68,1979,    03,  09,1979-03-09,3.366,0.0
69,1979,    03,  11,1979-03-11,3.443,0.0
70,1979,    03,  13,1979-03-13,3.594,0.0
71,1979,    03,  15,1979-03-15,3.721,0.0
72,1979,    03,  17,1979-03-17,3.832,0.0
73,1979,    03,  19,1979-03-19,4.091,0.0
74,1979,    03,  21,1979-03-21,4.248,0.0
75,1979,    03,  23,1979-03-23,4.5,0.0
76,1979,    03,  25,1979-03-25,4.818,0.0
77,1979,    03,  27,1979-03-27,4.894,0.0
